"properties/province","properties/district","properties/sub_district","properties/village","properties/area_sawah","properties/product","","",""
"JAWA TIMUR","MALANG","AMPELGADING","ARGOYUWONO","0","0","","",""
"JAWA TIMUR","MALANG","AMPELGADING","LEBAKHARJO","348.0","1,440.7","","",""
"JAWA TIMUR","MALANG","AMPELGADING","MULYOASRI","0","0","","",""
"JAWA TIMUR","MALANG","AMPELGADING","PURWOHARJO","20.0","82.8","","",""
"JAWA TIMUR","MALANG","AMPELGADING","SIDORENGGO","0","0","","",""
"JAWA TIMUR","MALANG","AMPELGADING","SIMOJAYAN","0","0","","",""
"JAWA TIMUR","MALANG","AMPELGADING","SONOWANGI","27.0","111.8","","",""
"JAWA TIMUR","MALANG","AMPELGADING","TAMANASRI","0","0","","",""
"JAWA TIMUR","MALANG","AMPELGADING","TAMANSARI","0","0","","",""
"JAWA TIMUR","MALANG","AMPELGADING","TAWANGAGUNG","0","0","","",""
"JAWA TIMUR","MALANG","AMPELGADING","TIRTOMARTO","5.0","20.7","","",""
"JAWA TIMUR","MALANG","AMPELGADING","TIRTOMOYO","0","0","","",""
"JAWA TIMUR","MALANG","AMPELGADING","WIROTAMAN","7.0","29.0","","",""
"JAWA TIMUR","MALANG","BANTUR","BANDUNGREJO","172.0","712.1","","",""
"JAWA TIMUR","MALANG","BANTUR","BANTUR","401.0","1,660.1","","",""
"JAWA TIMUR","MALANG","BANTUR","KARANGSARI","10.0","41.4","","",""
"JAWA TIMUR","MALANG","BANTUR","PRINGGONDANI","68.0","281.5","","",""
"JAWA TIMUR","MALANG","BANTUR","REJOSARI","46.0","190.4","","",""
"JAWA TIMUR","MALANG","BANTUR","REJOYOSO","65.2","269.9","","",""
"JAWA TIMUR","MALANG","BANTUR","SRIGONCO","201.0","832.1","","",""
"JAWA TIMUR","MALANG","BANTUR","SUMBERBENING","210.0","869.4","","",""
"JAWA TIMUR","MALANG","BANTUR","WONOKERTO","85.0","351.9","","",""
"JAWA TIMUR","MALANG","BANTUR","WONOREJO","156.0","645.8","","",""
"JAWA TIMUR","MALANG","DAMPIT","AMANDANOM","99.0","409.9","","",""
"JAWA TIMUR","MALANG","DAMPIT","SUMBERSUKO","20.0","82.8","","",""
"JAWA TIMUR","MALANG","DAMPIT","SUKODONO","0","0","","",""
"JAWA TIMUR","MALANG","DAMPIT","SRIMULYO","0","0","","",""
"JAWA TIMUR","MALANG","DAMPIT","REMBUN","138.0","571.3","","",""
"JAWA TIMUR","MALANG","DAMPIT","POJOK","147.0","608.6","","",""
"JAWA TIMUR","MALANG","DAMPIT","PAMOTAN","357.0","1,478.0","","",""
"JAWA TIMUR","MALANG","DAMPIT","MAJANGTENGAH","164.0","679.0","","",""
"JAWA TIMUR","MALANG","DAMPIT","KELURAHAN DAMPIT","112.0","463.7","","",""
"JAWA TIMUR","MALANG","DAMPIT","JAMBANGAN","192.0","794.9","","",""
"JAWA TIMUR","MALANG","DAMPIT","BUMIREJO","70.0","289.8","","",""
"JAWA TIMUR","MALANG","DAMPIT","BATURETNO","0","0","","",""
"JAWA TIMUR","MALANG","DAU","GADINGKULON","105.0","434.7","","",""
"JAWA TIMUR","MALANG","DAU","KALISONGO","14.0","58.0","","",""
"JAWA TIMUR","MALANG","DAU","KARANGWIDORO","38.0","157.3","","",""
"JAWA TIMUR","MALANG","DAU","KUCUR","0","0","","",""
"JAWA TIMUR","MALANG","DAU","LANDUNGSARI","55.0","227.7","","",""
"JAWA TIMUR","MALANG","DAU","MULYOAGUNG","45.0","186.3","","",""
"JAWA TIMUR","MALANG","DAU","PETUNGSEWU","30.0","124.2","","",""
"JAWA TIMUR","MALANG","DAU","SELOREJO","43.0","178.0","","",""
"JAWA TIMUR","MALANG","DAU","SUMBERSEKAR","85.0","351.9","","",""
"JAWA TIMUR","MALANG","DAU","TEGALWERU","33.0","136.6","","",""
"JAWA TIMUR","MALANG","DONOMULYO","BANJAREJO","180.0","745.2","","",""
"JAWA TIMUR","MALANG","DONOMULYO","DONOMULYO","412.3","1,706.9","","",""
"JAWA TIMUR","MALANG","DONOMULYO","KEDUNGSALAM","135.0","558.9","","",""
"JAWA TIMUR","MALANG","DONOMULYO","MENTARAMAN","167.7","694.3","","",""
"JAWA TIMUR","MALANG","DONOMULYO","PURWODADI","140.0","579.6","","",""
"JAWA TIMUR","MALANG","DONOMULYO","PURWOREJO","170.0","703.8","","",""
"JAWA TIMUR","MALANG","DONOMULYO","SUMBEROTO","150.0","621.0","","",""
"JAWA TIMUR","MALANG","DONOMULYO","TEMPURSARI","251.0","1,039.1","","",""
"JAWA TIMUR","MALANG","DONOMULYO","TLOGOSARI","116.0","480.2","","",""
"JAWA TIMUR","MALANG","GEDANGAN","GAJAHREJO","132.0","546.5","","",""
"JAWA TIMUR","MALANG","GEDANGAN","GEDANGAN","129.0","534.1","","",""
"JAWA TIMUR","MALANG","GEDANGAN","GIRIMOYO","77.0","318.8","","",""
"JAWA TIMUR","MALANG","GEDANGAN","SEGARAN","38.0","157.3","","",""
"JAWA TIMUR","MALANG","GEDANGAN","SIDODADI","214.0","886.0","","",""
"JAWA TIMUR","MALANG","GEDANGAN","SINDUREJO","56.0","231.8","","",""
"JAWA TIMUR","MALANG","GEDANGAN","SUMBEREJO","78.0","322.9","","",""
"JAWA TIMUR","MALANG","GEDANGAN","TUMPAKREJO","37.0","153.2","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","BULUPITU","244.0","1,010.2","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","GANJARAN","450.0","1,863.0","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","GONDANGLEGI KULON","440.0","1,821.6","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","GONDANGLEGI WETAN","36.7","151.9","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","KETAWANG","133.0","550.6","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","PANGGUNGREJO","109.0","451.3","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","PUTAT KIDUL","152.0","629.3","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","PUTAT LOR","288.7","1,195.2","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","PUTUKREJO","350.0","1,449.0","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","SEPANJANG","350.0","1,449.0","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","SUKOREJO","127.0","525.8","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","SUKOSARI","155.3","643.1","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","SUMBERJAYA","120.0","496.8","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","UREK UREK","0","0","","",""
"JAWA TIMUR","MALANG","JABUNG","ARGOSARI","107.0","443.0","","",""
